attack,back,forward,jump,left,right,sneak,sprint,use,drop,inventory,ESC,camera1,camera2,startImage,hotbar
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,0.0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,-10.0,-3.2153691330919005,5,1
0,0,0,0,0,0,0,0,0,0,1,0,-5.809483127522302,-0.6153942662021781,6,1
0,0,0,0,0,0,0,0,0,0,1,0,10.0,10.0,7,1
0,0,0,0,0,0,0,0,0,0,1,0,-3.2153691330919005,-0.6153942662021781,8,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,9,1
0,0,0,0,0,0,0,0,0,0,0,0,-5.809483127522302,-1.6094986352788734,10,1
0,0,0,0,0,0,0,0,0,0,0,0,-5.809483127522302,-1.6094986352788734,11,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,12,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,-1.6094986352788734,13,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6153942662021781,14,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,15,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,-0.6153942662021781,16,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,17,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18,1
0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,19,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,-0.6153942662021781,20,1
0,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,1.6094986352788734,21,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,22,1
1,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,23,1
0,0,0,0,0,0,0,0,0,0,0,0,-5.809483127522302,0.6153942662021781,24,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,25,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,26,1
0,0,0,0,0,0,0,0,1,0,0,0,-1.6094986352788734,0.0,27,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,28,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,-1.6094986352788734,29,1
0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,30,1
0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,31,1
0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,32,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,33,1
0,0,0,0,0,0,0,0,0,0,0,0,5.809483127522302,0.0,34,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,35,1
0,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,0.6153942662021781,36,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,37,1
0,0,0,0,0,0,0,0,0,0,0,0,-5.809483127522302,1.6094986352788734,38,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,0.0,39,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,0.0,40,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,41,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,42,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,43,1
0,0,0,0,0,0,0,0,1,0,0,0,3.2153691330919005,0.6153942662021781,44,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.6153942662021781,45,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,-0.6153942662021781,46,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.6094986352788734,47,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,-0.6153942662021781,48,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,49,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6153942662021781,50,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,51,1
0,0,0,0,0,0,0,0,1,0,0,0,0.6153942662021781,0.0,52,1
0,0,0,0,0,0,0,0,1,0,0,0,0.6153942662021781,0.0,53,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,54,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.6153942662021781,55,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,-1.6094986352788734,56,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,0.0,57,1
1,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,58,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,59,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,60,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,61,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,62,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,63,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,64,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,65,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,66,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,-0.6153942662021781,67,1
1,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,68,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,69,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,70,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,71,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,72,1
1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,73,1
0,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,0.0,74,1
0,0,0,0,0,0,0,0,0,0,0,0,5.809483127522302,0.0,75,1
1,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,0.0,76,1
0,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,0.0,77,1
0,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,0.0,78,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,79,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,80,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.6153942662021781,81,1
1,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.6153942662021781,82,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.6153942662021781,83,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.6153942662021781,84,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.6153942662021781,85,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,86,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,0.0,87,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,-0.6153942662021781,88,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,-0.6153942662021781,89,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,90,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,91,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,0.0,92,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,93,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,94,1
0,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,-0.6153942662021781,95,1
0,0,0,0,0,0,0,0,0,0,0,0,5.809483127522302,0.0,96,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,97,1
0,0,0,0,0,0,0,0,0,0,0,0,3.2153691330919005,0.0,98,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,99,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,100,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,101,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,102,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,103,1
0,0,0,0,0,0,0,0,0,0,0,0,-5.809483127522302,0.0,104,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,105,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,106,1
0,0,0,0,0,0,0,0,0,0,0,0,-1.6094986352788734,0.0,107,1
0,0,0,0,0,0,0,0,0,0,0,0,-3.2153691330919005,0.0,108,1
1,0,0,0,0,0,0,0,0,0,0,0,5.809483127522302,0.0,109,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,110,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,111,1
0,0,0,0,0,0,0,0,0,0,0,0,5.809483127522302,0.6153942662021781,112,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,113,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,114,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,115,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,116,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,117,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,118,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,119,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,120,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,121,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,122,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,123,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,124,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,125,1
0,0,0,0,0,0,0,0,0,0,0,0,1.6094986352788734,0.0,126,1
